author,translator,original_lang,count
Тарас Шаўчэнка,Янка Купала,ukr,35
Марыя Канапніцкая,Янка Купала,pol,11
Уладзіслаў Сыракомля,Янка Купала,pol,10
Францішак Багушэвіч,Міхась Машара,pol,9
Адам Міцкевіч,Янка Купала,pol,8
Ян Баршчэўскі,Кастусь Цьвірка,pol,8
Марк Шагал,Рыгор Барадулін,yid,6
Мікалай Някрасаў,Янка Купала,rus,5
Невядомы,Янка Купала,pol,4
Грыцька Чупрынка,Янка Купала,ukr,2
Невядомы,Янка Купала,rus,2
Сяргей Гарадзецкі,Якуб Колас,rus,2
Юзаф Крашэўскі,Янка Купала,pol,2
Іван Крылоў,Янка Купала,pol,1
Іда Пілецкая,Янка Купала,pol,1
Адам Міцкевіч,Янка Купала,rus,1
Аляксей Кальцоў,Янка Купала,rus,1
Валяр'ян Паляшчук,Янка Купала,ukr,1
Георг Хэрвег,Якуб Колас,deu,1
Герман Гесэ,Янка Купала,deu,1
Дзмітрый Цэнзар,Янка Купала,rus,1
Карнель Уейскі,Янка Купала,pol,1
Кароль Балінскі,Янка Купала,pol,1
Л. Явалкоўская-Кашуцкая,Янка Купала,pol,1
М. Ісакоўскі,Янка Купала,rus,1
М. Красільнікаў,Янка Купала,rus,1
Максім Рыльскі,Якуб Колас,ukr,1
Мікола Гусоўскі,Натальля Арсеньнева; Віктар Дарашкевіч,lat,1
Паўло Тычына,Якуб Колас,ukr,1
Піліп Шкулёў,Янка Купала,rus,1
Раіса Кудашава,Янка Купала,rus,1
Уладзімір Жылка,,pol,1
Фёдар Цютчаў,Янка Купала,rus,1
Ян Каспровіч,Янка Купала,pol,1
Яскулка,Янка Купала,pol,1
